number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia
0,1,2,tsako,1 16 21,3,2,2018,agosto,17
1,1,12,raketa_mena,,0,1,2018,agosto,17
2,1,6,ravina_hafa,16 21,2,2,2018,agosto,17
20,1,12,raketa_mena,1 16,2,2,2018,agosto,7
21,1,7,ravina_hafa,1 15 16 5,4,3,2018,agosto,7
30,0,2,tsako,1 10 16 2 5,5,2,2018,agosto,7
31,1,10,raketa_mena,1 10 12 16 18 2 20 22 23 24 26 4 5 6 7 9,16,2,2018,agosto,7
32,1,7,ravina_hafa,1 10 16 4 5,5,3,2018,agosto,7
33,0,2,hazan-dranomasina,16,1,0,2018,agosto,7
34,0,0,balahazo _maina,1 16 5,3,1,2018,agosto,8
40,1,1,tsako,12 5,2,3,2018,agosto,8
41,1,7,ampemba,,0,3,2018,agosto,8
50,1,7,raketa_mena,5,1,1,2018,agosto,8
51,1,5,balahazo _maina,5,1,2,2018,agosto,8
60,0,0,tsako,16 2 21 27,4,2,2018,agosto,8
61,0,0,voanemba,16 5,2,2,2018,agosto,8
62,1,7,raketa_mena,16 21,2,2,2018,agosto,8
63,1,3,balahazo _maina,12,1,1,2018,agosto,8
70,1,7,raketa_mena,16 29,2,1,2018,agosto,8
71,1,7,ravina_hafa,16,1,2,2018,agosto,8
80,1,7,raketa_mena,,0,4,2018,agosto,8
81,1,7,sakafo_ambaniny_tany_hafa,16,1,2,2018,agosto,8
90,1,2,tsako,16,1,3,2018,agosto,8
91,1,2,vary,16,1,6,2018,agosto,8
92,1,5,balahazo _maina,16 6,2,2,2018,agosto,8
100,1,7,raketa_mena,13 16,2,2,2018,agosto,8
101,1,7,balahazo _maina,16,1,3,2018,agosto,8
110,1,3,tsako,16 5,2,2,2018,agosto,8
111,1,1,voanemba,16 6,2,0,2018,agosto,8
112,1,7,raketa_mena,5,1,2,2018,agosto,8
113,0,0,balahazo _maina,16,1,2,2018,agosto,8
114,0,0,bageda,16,1,3,2018,agosto,8
120,0,1,tsako,1 16,2,1,2018,agosto,4
121,0,1,voanemba,1 16,2,2,2018,agosto,4
122,1,7,raketa_mena,16 5,2,3,2018,agosto,4
123,1,1,balahazo _maina,1 16,2,3,2018,agosto,4
124,1,2,ravi_balahazo,1 16,2,4,2018,agosto,4
130,1,7,raketa_mena,1 10 2 25 27,5,5,2019,setembro,24
131,1,7,raketa_ravina,29 5,2,0,2019,setembro,14
140,0,0,tsako,12 21 23 29 5,5,3,2019,setembro,23
141,0,2,voanemba,1 10 18 2 21 25 27 29 7,9,2,2019,setembro,23
142,0,0,raketa_maitso/fotsy,5 7,2,2,2019,setembro,23
143,1,7,raketa_mena,1 10 12 5 7,5,3,2019,setembro,23
144,0,0,taboara,18 5,2,2,2019,setembro,23
145,0,2,hena_omby,5,1,2,2019,setembro,23
146,1,2,vary,2 5,2,3,2019,setembro,23
147,0,4,balahazo _maina,1 10 12 18 2,5,3,2019,setembro,23
148,0,0,ravi_balahazo,5,1,2,2019,setembro,23
149,0,2,katra,5 7,2,3,2019,setembro,23
150,0,7,tsako,2 25 5 7,4,3,2019,setembro,23
151,1,7,raketa_mena,1 10 18 5 7,5,3,2019,setembro,23
152,1,7,raketa_ravina,10 14 25 28 5 7,6,3,2019,setembro,23
160,1,7,tsako,2 25 27 7,4,3,2019,setembro,24
161,1,7,raketa_mena,1 10 28 7,4,3,2019,setembro,24
170,1,3,ravi_balahazo,21 5,2,3,2019,setembro,24
180,1,7,raketa_mena,1 10 12 18 2 5,6,3,2019,setembro,23
190,1,7,raketa_mena,10 5,2,2,2019,setembro,19
200,1,7,tsako,,0,2,2019,setembro,14
201,1,7,raketa_mena,12 5 7,3,2,2019,setembro,14
210,1,3,tsako,1 29 5,3,2,2019,setembro,14
211,0,0,raketa_maitso/fotsy,,0,7,2019,setembro,14
212,1,7,raketa_mena,16 2 29 7,4,2,2019,setembro,14
213,0,3,balahazo _maina,13,1,1,2019,setembro,14
220,1,7,raketa_mena,2,1,3,2019,setembro,14
230,1,7,raketa_mena,16 21 5,3,3,2018,agosto,17
231,1,4,balahazo _maina,16 5,2,2,2018,agosto,17
240,1,3,tsako,1 10 16 18 2 20 5,7,2,2018,agosto,7
250,0,2,tsako,5,1,1,2018,agosto,8
251,0,3,voanemba,5,1,2,2018,agosto,8
252,0,2,raketa_maitso/fotsy,12 16 21,3,2,2018,agosto,8
253,1,7,raketa_mena,1 10 2 21 4,5,3,2018,agosto,8
254,0,0,taboara,1 10 2 5,4,1,2018,agosto,8
255,0,0,ampemba,16,1,2,2018,agosto,8
256,0,0,hena_omby,16,1,2,2018,agosto,8
257,0,0,hena_hafa,16,1,2,2018,agosto,8
258,0,0,bajiry,16 21,2,2,2018,agosto,8
259,1,2,vary,16 21 5,3,2,2018,agosto,8
260,0,0,tsako,16 21,2,3,2018,agosto,8
261,0,0,voanemba,16 6,2,2,2018,agosto,8
270,1,4,balahazo _maina,1 5,2,2,2018,agosto,8
280,1,4,tsako,1 5,2,2,2018,agosto,8
281,1,7,raketa_mena,1 16,2,1,2018,agosto,8
282,1,7,ravina_hafa,,0,2,2018,agosto,8
283,1,3,hazan-dranomasina,16 5,2,2,2018,agosto,8
284,0,5,balahazo _maina,1 5,2,1,2018,agosto,8
285,0,1,bageda,12 2 21,3,3,2018,agosto,8
290,1,7,balahazo _maina,1 16,2,1,2018,agosto,8
300,0,0,tsako,16 5,2,2,2018,agosto,8
301,1,3,voanemba,1 16,2,2,2018,agosto,8
302,1,6,raketa_mena,1 12 16,3,2,2018,agosto,8
303,1,3,ampemba,1 16 21 5,4,1,2018,agosto,8
304,0,2,balahazo _maina,16,1,2,2018,agosto,8
310,0,0,tsako,16 21,2,3,2018,agosto,8
311,1,2,voanemba,,0,3,2018,agosto,8
312,0,0,antake,16 21,2,2,2018,agosto,8
313,1,5,raketa_mena,1 5,2,2,2018,agosto,8
314,0,0,taboara,,0,2,2018,agosto,8
315,1,2,ampemba,16 21 6,3,3,2018,agosto,8
316,0,0,raketa_ravina,16,1,2,2018,agosto,8
317,0,0,hena_omby,4,1,1,2018,agosto,8
318,0,1,hena_hafa,16 6,2,2,2018,agosto,8
319,0,1,vokatra_azo_aminy_ronono,16 7,2,2,2018,agosto,8
320,1,2,tsako,1 16,2,1,2018,agosto,8
321,0,1,voanemba,16 8,2,2,2018,agosto,8
322,1,7,raketa_mena,5,1,3,2018,agosto,8
323,0,2,vary,5,1,2,2018,agosto,8
324,1,4,balahazo _maina,5,1,3,2018,agosto,8
330,1,7,raketa_mena,16,1,2,2018,agosto,8
340,1,1,tsako,1 2,2,3,2018,agosto,8
341,1,7,raketa_mena,16,1,2,2018,agosto,8
342,1,3,balahazo _maina,1,1,2,2018,agosto,8
350,1,7,raketa_mena,1 16,2,1,2018,agosto,7
351,1,7,ravina_hafa,16 20 4,3,0,2018,agosto,7
352,1,7,balahazo _maina,5,1,1,2018,agosto,7
360,1,7,raketa_mena,1,1,2,2019,agosto,17
361,1,1,ampemba,1,1,5,2019,agosto,1
370,0,0,tsako,21 25 5 8,4,3,2019,setembro,23
371,0,0,voanemba,12 16 2 21 23 25 29 5 7,9,2,2019,setembro,23
372,0,0,antake,2 5 6 7,4,3,2019,setembro,23
373,1,21,raketa_mena,12 16 21 25 29 5,6,2,2019,setembro,23
374,0,0,taboara,1 12 5 7,4,3,2019,setembro,23
375,0,0,voankazo_hafa,2 21 29 4,4,2,2019,setembro,23
376,0,0,ampemba,6 7,2,2,2019,setembro,24
377,0,0,hena_omby,1 5,2,3,2019,setembro,24
378,0,0,vokatra_azo_aminy_ronono,6 7,2,2,2019,setembro,24
379,0,0,vihinja,1 2 7,3,3,2019,setembro,24
380,1,5,raketa_mena,5 7,2,2,2019,setembro,24
381,1,6,balahazo _maina,22 25 5,3,3,2019,setembro,24
390,1,5,balahazo _maina,1 5,2,2,2019,setembro,23
400,1,3,antake,1 2 25 27,4,3,2019,setembro,24
401,1,7,balahazo _maina,2 7,2,2,2019,setembro,24
420,1,6,legumes_hafa,10 5 7,3,3,2019,setembro,24
421,1,7,raketa_mena,21 5 7,3,3,2019,setembro,24
430,1,7,ampemba,5,1,2,2019,setembro,24
431,1,7,balahazo _maina,1 10 2 25 27 7,6,4,2019,setembro,24
440,1,7,raketa_mena,7,1,3,2019,setembro,17
441,1,7,ravina_hafa,2 7,2,3,2019,setembro,17
450,1,10,raketa_mena,2 8,2,7,2019,setembro,14
451,1,7,ravina_hafa,2 25 27 5 7,5,3,2019,setembro,14
460,1,14,raketa_mena,10 5 7,3,2,2019,setembro,14
461,1,7,ravina_hafa,1 16 7,3,2,2019,setembro,14
470,0,1,tsako,1 7,2,2,2019,setembro,19
471,1,7,raketa_mena,5 7,2,2,2019,setembro,19
472,1,7,balahazo _maina,10 2 25 27 28,5,2,2019,setembro,19
480,1,7,raketa_mena,16 21 28,3,2,2018,agosto,17
481,1,7,ravina_hafa,,0,,2018,agosto,17
482,0,1,balahazo _maina,1 16 5,3,2,2018,agosto,17
490,1,1,tsako,16,1,3,2018,agosto,8
491,1,7,raketa_mena,2 27,2,3,2018,agosto,8
500,1,3,balahazo _maina,4,1,1,2018,agosto,8
510,1,7,balahazo _maina,16,1,3,2018,agosto,7
520,1,7,raketa_mena,1 16,2,1,2018,agosto,7
521,1,7,balahazo _maina,16,1,0,2018,agosto,7
530,1,5,raketa_mena,16 5,2,0,2018,agosto,7
531,1,6,balahazo _maina,16,1,3,2018,agosto,7
540,1,3,balahazo _maina,16 21,2,2,2018,agosto,7
550,1,7,antake,16 5,2,2,2018,agosto,8
551,1,7,raketa_mena,5,1,1,2018,agosto,8
552,1,2,ravina_hafa,5,1,1,2018,agosto,8
553,1,7,balahazo _maina,16 21,2,2,2018,agosto,8
560,1,2,antake,16 21,2,3,2018,agosto,8
570,1,4,balahazo _maina,1 5,2,2,2018,agosto,8
580,1,4,tsako,1 16,2,1,2018,agosto,4
581,1,4,vokatra_azo_aminy_ronono,5,1,,2018,agosto,4
582,1,7,balahazo _maina,1 16,2,3,2018,agosto,4
590,1,14,raketa_mena,16 5 6,3,1,2018,agosto,8
