valor;Votos;Resultado
285565.65;29384;1
1032545.77;25646;1
253674.5;22500;1
338576.25;22422;1
316621.25;20894;1
269294.84;20352;1
386570.62;20269;1
319577.31;19318;1
2401254.35;17581;1
415232.31;17040;1
1357566.04;16745;1
144972.66;15923;1
177731.03;15636;1
351166.57;14939;0
347129.4;14876;1
1015529.69;14657;1
1090479.78;14223;1
215660.53;14216;1
322996.68;13635;0
836879.77;12918;0
421139.69;12670;1
55308.31;12506;1
97891.48;12079;0
322697.83;11993;0
214711.71;11769;0
118720.64;11463;1
767180.43;11364;1
104463.8;11125;0
118606.87;10960;0
225750.32;10924;0
367706.34;10672;0
300604.11;10593;0
444581;10330;1
522637.57;10186;0
709786.96;10026;1
898642.97;9946;0
388453.89;9664;0
104695.57;9444;0
554235.71;9244;0
278775.86;9231;0
272187.2;8981;0
54120.26;8957;0
267049.57;8858;0
327706.51;8594;0
84848.07;8462;0
610731.09;8306;0
47524.77;8119;0
168409.94;7911;0
293798.07;7899;0
178075.7;7428;1
38585.75;7331;0
19180.12;7288;0
1571769.91;7229;0
74073.01;7082;0
448375.86;7074;0
10222.25;7018;0
213047.22;6744;0
104553.63;6657;0
35045.53;6611;0
223149.28;6559;0
197526.48;6270;0
57242.48;6257;0
43038.37;6139;0
107863.37;6139;0
37322.83;6086;0
224188.02;6078;0
;5600;0
230417.87;5550;0
20827.63;5459;0
53702.02;5317;0
266967.49;5224;0
171228.62;5125;0
70449.16;4914;0
130586.73;4889;0
15488.75;4737;0
1777113.45;4718;0
;4597;0
56169.72;4576;0
126631.68;4437;0
26610.68;4413;0
90664.26;4328;0
66106.54;4319;0
21692.06;4298;0
49968.24;4196;0
17372.02;4194;0
6117.47;4183;0
28137.03;4139;0
30875.46;4101;0
59122.56;4073;0
43932.65;3994;0
33716.89;3934;0
59734.71;3902;0
471410.21;3882;0
185314.35;3820;0
43056.89;3734;0
11537.81;3716;0
133663.46;3697;0
513468.11;3691;0
142051.88;3678;0
141431.36;3653;0
17075.21;3566;0
403966.48;3561;0
19641.86;3547;0
53843.18;3450;0
2234.53;3372;0
187965.62;3353;0
34327.64;3319;0
86307.53;3318;0
132309.2;3258;0
79010.11;3218;0
76226.75;3101;0
13693.87;3077;0
35845.71;3033;0
24073.27;3031;0
107619.55;3011;0
142116.41;3009;0
231488.73;2942;0
203464.22;2933;0
2597.88;2874;0
85622.32;2871;0
7190.28;2844;0
168798.25;2832;0
89296.45;2815;0
2843.71;2792;0
14972.89;2770;0
39757.66;2758;0
18723.24;2723;0
127964.2;2683;0
12028.04;2679;0
38265.83;2661;0
28583.41;2646;0
35405.9;2638;0
59172.65;2609;0
147058.46;2548;0
158106.54;2504;0
7814.74;2499;0
597127.6;2497;0
184182.8;2462;0
34290.4;2455;0
288208.28;2392;0
32731.68;2388;0
20481.58;2368;0
124057.7;2361;0
60733.15;2354;0
34966.1;2347;0
85733.7;2326;0
54767.16;2236;0
98602.66;2202;0
59357.16;2195;0
282155.38;2174;0
16659.7;2141;0
315919.8;2140;0
28903.69;2129;0
83824.79;2105;0
237512.09;2100;0
23198.51;2096;0
155584.17;2077;0
11706.71;2036;0
14400;2015;0
88679.81;1986;0
;1928;0
45040.5;1903;0
15549.41;1903;0
6571.74;1865;0
39783.45;1836;0
67842.8;1820;0
17064.06;1813;0
57688.91;1798;0
161125.42;1798;0
22791.24;1790;0
31640.26;1763;0
41909.74;1756;0
22458.94;1748;0
35132.63;1737;0
25252.62;1721;0
27209.26;1704;0
30364.65;1671;0
111977.81;1664;0
45882.98;1656;0
